Hakusana	pos	count	expected
aika	N	1015240	yes
aika	Adv	97718	yes
aika	A	0	yes
aina	Adv	218429	yes
aina	N	0	yes
he	Interj	7	yes
he	Foreign	1	no
he	Pron	0	yes
hela	N	450	yes
hela	Adv	79	no
hela	A	0	yes
härö	N	12	yes
härö	Foreign	2	no
härö	V	2	no
härö	A	0	yes
iso	A	224880	yes
iso	N	6517	yes
iso	Adv	617	no
jonne	Adv	13278	yes
jonne	N	0	yes
juuri	Adv	139791	yes
juuri	N	13214	yes
juuri	A	262	no
juuri	Foreign	1	no
kaita	N	235	no
kaita	V	89	yes
kaita	A	0	yes
kasari	N	319	yes
kasari	Adv	2	no
kasari	A	0	yes
kerroin	N	571	yes
kerroin	Adv	28	yes
kiire	N	20643	yes
kiire	A	2	yes
kiltti	A	1516	yes
kiltti	N	1024	yes
kiltti	Adv	11	no
kohta	N	87789	yes
kohta	Adv	9459	yes
kohta	A	19	no
koko	Pron	308775	no
koko	N	23434	yes
koko	Adv	7	no
koko	Foreign	1	no
koko	A	0	yes
korea	N	1739	yes
korea	A	556	yes
krouvi	N	229	yes
krouvi	A	55	yes
kusta	V	1239	yes
kusta	N	16	no
kusta	Adv	8	yes
kuti	N	1960	yes
kuti	A	40	no
kuti	Adv	12	no
kuti	Interj	0	yes
kuupallinen	A	4	yes
kuupallinen	N	0	yes
kuurata	V	122	yes
kuurata	N	11	yes
kuuro	N	5528	yes
kuuro	A	3	yes
kuusi	Num	102277	yes
kuusi	N	13747	yes
kuusi	A	1	no
kymmenes	Num	8311	yes
kymmenes	N	2553	yes
lauha	A	2281	yes
lauha	N	1151	yes
lento	N	40726	yes
lento	A	1	no
lento	Adv	1	yes
live	N	4445	yes
live	Adv	1951	no
live	A	2	yes
lähin	N	7577	no
lähin	Adv	1029	no
lähin	A	0	yes
lähin	Adp	0	yes
läpi	Adp	59070	yes
läpi	N	20620	yes
läpi	Adv	548	yes
läpi	A	6	no
läpi	V	1	no
matti	N	2425	yes
matti	A	820	yes
midi	N	95	yes
midi	A	0	yes
modernisti	N	252	yes
modernisti	Adv	66	yes
mono	N	861	yes
mono	A	2	yes
mono	Adv	2	no
moro	N	298	yes
moro	Interj	14	yes
mäntti	N	28	yes
mäntti	A	0	yes
norja	N	870	yes
norja	A	186	yes
pai	N	973	yes
pai	Adv	29	no
pai	Interj	3	yes
panna	V	22175	yes
panna	N	2017	yes
panna	A	10	no
panna	Adv	1	no
perin	Adv	18948	yes
perin	A	0	yes
piilevä	A	602	yes
piilevä	N	70	yes
piilevä	Adv	8	no
pro	Adv	7506	no
pro	A	0	yes
pro	Adp	0	yes
pro	N	0	yes
puli	N	41	yes
puli	A	27	yes
päästä	V	364375	yes
päästä	Adp	26972	yes
päästä	N	4551	no
päästä	Adv	52	no
päästä	Foreign	3	no
raaka	N	6214	yes
raaka	A	12	yes
rikki	Adv	6376	yes
rikki	N	1426	yes
rikki	A	162	no
risa	N	133	yes
risa	A	64	yes
riski	N	49700	yes
riski	A	3759	yes
riski	Adv	5	no
siitä	Adv	715	yes
siitä	V	269	yes
siitä	N	13	no
siitä	Foreign	9	no
sivusta	N	1031	yes
sivusta	Adv	261	yes
sivusta	Adp	0	yes
suoja	N	16891	yes
suoja	A	0	yes
taata	V	19614	yes
taata	N	1841	yes
toiste	Adv	224	yes
toiste	N	36	yes
toiste	A	18	no
tokko	Adv	92	yes
tokko	N	0	yes
vari	N	322	yes
vari	A	44	yes
vasta	Adv	116490	yes
vasta	N	45399	yes
veronalainen	A	457	yes
veronalainen	N	0	yes
viisi	Num	173339	yes
viisi	Adv	619	no
viisi	A	2	no
viisi	N	0	yes
vika	N	25112	yes
vika	A	14	yes
voi	N	5876	yes
voi	Interj	2686	yes
voi	Adv	1691	no
voi	A	73	no
voi	V	1	no
vuoksi	Adp	155645	yes
vuoksi	N	939	yes
vuoksi	A	1	no
äimä	N	198	yes
äimä	A	26	yes
