Hakusana	pos	count	expected
aika	N	1015240	yes
aika	Adv	97718	yes
hela	N	450	yes
hela	A	79	yes
härö	N	12	yes
härö	A	4	yes
juuri	Adv	140054	yes
juuri	N	13214	yes
kaita	V	89	yes
kaita	A	235	yes
kasari	N	319	yes
kasari	A	2	yes
kerroin	N	571	yes
kerroin	Adv	28	yes
kiire	N	20643	yes
kiire	A	2	yes
kohta	N	87789	yes
kohta	Adv	9478	yes
koko	A	308783	yes
koko	N	23434	yes
korea	N	1739	yes
korea	A	556	yes
krouvi	N	229	yes
krouvi	A	55	yes
kusta	V	1255	yes
kusta	Adv	8	yes
kuurata	V	122	yes
kuurata	N	11	yes
kuuro	N	5528	yes
kuuro	A	3	yes
kuusi	Num	102278	yes
kuusi	N	13747	yes
kymmenes	Num	8311	yes
kymmenes	N	2553	yes
lauha	A	2281	yes
lauha	N	1151	yes
live	N	4445	yes
live	A	1953	yes
matti	N	2425	yes
matti	A	820	yes
modernisti	N	252	yes
modernisti	Adv	66	yes
mono	N	861	yes
mono	A	4	yes
moro	N	298	yes
moro	Interj	14	yes
norja	N	870	yes
norja	A	186	yes
pai	N	973	yes
pai	Interj	32	yes
panna	V	22175	yes
panna	N	2028	yes
piilevä	A	610	yes
piilevä	N	70	yes
puli	N	41	yes
puli	A	27	yes
päästä	V	364375	yes
päästä	Adp	31578	yes
raaka	N	6214	yes
raaka	A	12	yes
rikki	Adv	6538	yes
rikki	N	1426	yes
risa	N	133	yes
risa	A	64	yes
riski	N	49700	yes
riski	A	3764	yes
siitä	Adv	731	yes
siitä	V	275	yes
sivusta	N	1031	yes
sivusta	Adv	261	yes
taata	V	19614	yes
taata	N	1841	yes
toiste	Adv	242	yes
toiste	N	36	yes
vari	N	322	yes
vari	A	44	yes
vasta	Adv	116490	yes
vasta	N	45399	yes
vika	N	25112	yes
vika	A	14	yes
voi	N	5876	yes
voi	Interj	4451	yes
vuoksi	Adp	155646	yes
vuoksi	N	939	yes
äimä	N	198	yes
äimä	A	26	yes
