Hakusana	Sanaluokat	count
olla	verbi	15149528
ja	konjunktio, adverbi	8009977
se	pronomini	3740116
ei	kieltoverbi, substantiivi	3312474
että	konjunktio	2616520
joka	pronomini*	1902576
hän	pronomini	1809996
vuosi	substantiivi	1801254
tämä	pronomini	1793948
myös	adverbi	1536554
saada	verbi	1413317
mukaan	adverbi, postpositio	1324374
voida	verbi	1300076
mutta	konjunktio, substantiivi	1136690
tehdä	verbi	1122902
aika	substantiivi, adjektiivi, adverbi	1112958
tulla	verbi	1034912
kun	konjunktio	989897
kertoa	verbi	976305
sanoa	verbi	913094
uusi	adjektiivi, substantiivi	901814
muu	pronomini	793407
mikä	pronomini	764921
pitää	verbi	758517
jo	adverbi	713006
minä	pronomini, substantiivi	704649
nyt	adverbi	671489
kaikki	pronomini	661769
tai	konjunktio	638918
kuin	konjunktio, adverbi	633764
hyvä	adjektiivi, substantiivi	575607
ihminen	substantiivi	566871
toinen	numeraali, järjestysluku, pronomini, adjektiivi	563167
kaksi	numeraali	545935
jos	konjunktio, substantiivi	538422
suuri	adjektiivi	534825
viime	adjektiivi	525995
jälkeen	postpositio, adverbi	525867
asia	substantiivi	522569
niin	adverbi	522466
vielä	adverbi	513691
kanssa	postpositio, adverbi	490825
oma	adjektiivi, substantiivi	488195
yksi	numeraali, substantiivi	484864
haluta	verbi	458992
mies	substantiivi	458782
ottaa	verbi	451284
tuo	pronomini	447909
osa	substantiivi	446261
sekä	konjunktio	445782
ensimmäinen	numeraali	437980
poliisi	substantiivi	428619
kaupunki	substantiivi	428539
alkaa	verbi	420443
euro	substantiivi	419645
vain	adverbi	410405
kuitenkin	adverbi	406968
päästä	verbi, postpositio	395953
maa	substantiivi	383415
lapsi	substantiivi	377871
paljon	adverbi	370407
moni	pronomini	370285
jäädä	verbi	369051
yli	postpositio, prepositio, adverbi	366151
viikko	substantiivi	362992
alue	substantiivi	355993
sitten	adverbi	351385
itse	pronomini, substantiivi	349337
päivä	substantiivi	342988
nuori	adjektiivi, substantiivi	339889
koko	substantiivi, adjektiivi	332217
työ	substantiivi	329885
suomalainen	adjektiivi, substantiivi	329853
mieli	substantiivi	329344
kolme	numeraali	329234
tilanne	substantiivi	327571
pelata	verbi	324537
käydä	verbi	323500
kerta	substantiivi	319151
antaa	verbi	317409
nähdä	verbi	316973
paikka	substantiivi	316343
nainen	substantiivi	314550
hyvin	adverbi	311390
sama	pronomini	311165
mennä	verbi	310689
kuva	substantiivi	309366
ennen	adverbi, prepositio, postpositio	308374
kausi	substantiivi	306983
esimerkiksi	adverbi	303074
käyttää	verbi	302512
lisäksi	postpositio, adverbi	297716
prosentti	substantiivi	293126
tieto	substantiivi	292200
katsoa	verbi	288744
vaikka	konjunktio, adverbi	288350
lähteä	verbi	283562
nousta	verbi	281839
ottelu	substantiivi	281038
toimia	verbi	278932
muassa	postpositio	278590
miljoona	numeraali	278328
todeta	verbi	269940
pieni	adjektiivi, substantiivi	266309
joutua	verbi	266300
määrä	substantiivi	265232
hallitus	substantiivi	264268
kunta	substantiivi	260566
jokin	pronomini	258977
joukkue	substantiivi	258196
tarvita	verbi	256992
lukea	verbi	253362
puoli	substantiivi, adverbi, postpositio	252177
vanha	adjektiivi, substantiivi	248689
hetki	substantiivi	244932
koulu	substantiivi	244932
miten	adverbi	243048
koska	konjunktio, adverbi	237870
ensi	adjektiivi	236329
eli	konjunktio	235972
enemmän	adverbi	233054
alku	substantiivi	232173
iso	adjektiivi, substantiivi	232014
mikään	pronomini	230894
maali	substantiivi*	226516
löytyä	verbi	226407
järjestää	verbi	226064
tapahtua	verbi	223747
käyttö	substantiivi	223695
tärkeä	adjektiivi	222180
kesä	substantiivi	221481
rakentaa	verbi	218556
aina	adverbi, substantiivi	218429
aloittaa	verbi	218356
sillä	konjunktio, adverbi	213450
odottaa	verbi	210459
tietää	verbi	210410
mahdollinen	adjektiivi	209549
vastaan	adverbi, postpositio	208116
loppu	substantiivi, adjektiivi	207961
tapa	substantiivi	207918
yritys	substantiivi	205650
eri	adjektiivi, adverbi	205131
vaatia	verbi	205080
jatkaa	verbi	204374
voittaa	verbi	203213
tuoda	verbi	202890
liittyä	verbi	201982
maailma	substantiivi	200710
toiminta	substantiivi	199913
päättää	verbi	199150
peli	substantiivi	196883
neljä	numeraali	196439
pitkä	adjektiivi, substantiivi	196364
lisätä	verbi	196136
päätös	substantiivi	195965
syy	substantiivi*	195696
uskoa	verbi	195349
auto	substantiivi	194514
pystyä	verbi	191809
jopa	adverbi	189952
arvioida	verbi	188423
kuulua	verbi	187544
presidentti	substantiivi	187188
puheenjohtaja	substantiivi	186469
