Hakusana	Sanaluokat	count
uusi	adjektiivi, substantiivi	901814
hyvä	adjektiivi, substantiivi	575607
toinen	numeraali, järjestysluku, pronomini, adjektiivi	563167
suuri	adjektiivi	534825
viime	adjektiivi	525995
oma	adjektiivi, substantiivi	488195
nuori	adjektiivi, substantiivi	339889
suomalainen	adjektiivi, substantiivi	329853
koko	adjektiivi	308783
pieni	adjektiivi, substantiivi	266309
vanha	adjektiivi, substantiivi	248689
ensi	adjektiivi	236329
iso	adjektiivi, substantiivi	232014
tärkeä	adjektiivi	222180
mahdollinen	adjektiivi	209549
loppu	substantiivi, adjektiivi	207961
eri	adjektiivi, adverbi	205131
pitkä	adjektiivi, substantiivi	196364
kova	adjektiivi, substantiivi	185400
viimeinen	adjektiivi, substantiivi	181146
entinen	adjektiivi	153343
vaikea	adjektiivi	150934
sellainen	adjektiivi	150495
seuraava	adjektiivi, substantiivi	137602
kansainvälinen	adjektiivi, substantiivi	124493
erilainen	adjektiivi	118793
korkea	adjektiivi, substantiivi	118640
nykyinen	adjektiivi	113616
valmis	adjektiivi, substantiivi	110051
tällainen	adjektiivi, substantiivi	101798
tuleva	adjektiivi, substantiivi	98499
huono	adjektiivi	94199
helppo	adjektiivi	92133
oikea	adjektiivi, substantiivi	86202
laaja	adjektiivi	84607
vahva	adjektiivi	82734
paras	adjektiivi	80948
merkittävä	adjektiivi	79309
edellinen	adjektiivi	78030
tuttu	adjektiivi, substantiivi	75380
paha	adjektiivi, substantiivi	74583
nopea	adjektiivi	74491
perussuomalainen	adjektiivi, substantiivi	72999
aiempi	adjektiivi	70141
suora	adjektiivi, substantiivi	69857
yhteinen	adjektiivi	68840
tuore	adjektiivi	67855
parempi	adjektiivi	67402
tosi	adjektiivi, adverbi, substantiivi	65038
julkinen	adjektiivi, substantiivi	65003
yleinen	adjektiivi	64989
sosiaalinen	adjektiivi	61502
paikallinen	adjektiivi, substantiivi	61058
hieno	adjektiivi	60883
vihreä	adjektiivi, substantiivi	60530
poliittinen	adjektiivi	60286
venäläinen	adjektiivi, substantiivi	60231
reilu	adjektiivi	60224
aikuinen	adjektiivi, substantiivi	59372
vieras	adjektiivi, substantiivi	59362
ainoa	adjektiivi	58706
perinteinen	adjektiivi, substantiivi	58680
selvä	adjektiivi	58346
vakava	adjektiivi	57758
tiukka	adjektiivi, substantiivi	55579
tavallinen	adjektiivi	54894
tarkka	adjektiivi	52357
poikkeuksellinen	adjektiivi	49990
avoin	adjektiivi	49920
erityinen	adjektiivi	49466
vapaa	adjektiivi, substantiivi	47961
pohjoinen	substantiivi, adjektiivi	47146
millainen	adjektiivi	47116
lyhyt	adjektiivi	46382
vastaava	adjektiivi, substantiivi	46228
normaali	adjektiivi, substantiivi	46173
heikko	adjektiivi	45838
tyytyväinen	adjektiivi	45119
punainen	adjektiivi, substantiivi	44926
törkeä	adjektiivi	44654
suosittu	adjektiivi	44140
runsas	adjektiivi	43416
tietty	adjektiivi	42986
tunnettu	adjektiivi	42375
yksityinen	adjektiivi, substantiivi	42318
kotimainen	adjektiivi	41600
valtava	adjektiivi	41226
raskas	adjektiivi	40998
yksittäinen	adjektiivi	40979
positiivinen	adjektiivi	40262
täysi	adjektiivi, substantiivi	39588
harvinainen	adjektiivi	38404
taloudellinen	adjektiivi	38338
valkoinen	adjektiivi, substantiivi	37994
varsinainen	adjektiivi	37346
keltainen	adjektiivi, substantiivi	37147
hankala	adjektiivi	37063
vaarallinen	adjektiivi	36613
ruotsalainen	adjektiivi, substantiivi	36387
lämmin	adjektiivi, substantiivi	36211
voimakas	adjektiivi	35917
aikainen	adjektiivi	35553
kylmä	adjektiivi, substantiivi	35472
musta	adjektiivi, substantiivi	35230
riittävä	adjektiivi	34659
tekninen	adjektiivi	34628
vähä	adjektiivi, substantiivi	34418
kallis	adjektiivi	34274
väärä	adjektiivi	33313
keskeinen	adjektiivi	32595
selkeä	adjektiivi	32517
varma	adjektiivi	32308
virallinen	adjektiivi	32164
työtön	adjektiivi, substantiivi	32005
tyhjä	adjektiivi, substantiivi	31794
melko	adverbi, adjektiivi	31498
kansallinen	adjektiivi	30865
vastainen	adjektiivi, substantiivi	30706
turvallinen	adjektiivi	30443
pelkkä	adjektiivi	30397
samanlainen	adjektiivi	30126
läheinen	adjektiivi	30022
johtava	adjektiivi	29953
todellinen	adjektiivi	29722
yllättävä	adjektiivi	29111
tehokas	adjektiivi	28993
historiallinen	adjektiivi	28611
vajaa	adjektiivi	27964
kuuma	adjektiivi, substantiivi	27839
turha	adjektiivi, substantiivi	27630
henkilökohtainen	adjektiivi	27613
kuollut	substantiivi, adjektiivi	27210
vapaaehtoinen	adjektiivi, substantiivi	26935
saksalainen	adjektiivi, substantiivi	26925
hurja	adjektiivi	26132
sopiva	adjektiivi	25654
vanhempi	adjektiivi, substantiivi	25595
harva	pronomini, adjektiivi	25201
kaltainen	adjektiivi	25059
mukava	adjektiivi, substantiivi	24894
matala	adjektiivi, substantiivi	24722
amerikkalainen	adjektiivi, substantiivi	24606
puhdas	adjektiivi, substantiivi	24526
mielenkiintoinen	adjektiivi	24500
ilmainen	adjektiivi	24452
erikoinen	adjektiivi	24429
pysyvä	adjektiivi	24065
lopullinen	adjektiivi	23771
mahdoton	adjektiivi, substantiivi	23559
eurooppalainen	adjektiivi, substantiivi	23482
rauhallinen	adjektiivi	23148
raju	adjektiivi	23120
arvokas	adjektiivi	23082
halpa	adjektiivi	23063
sanottu	adjektiivi	23043
ulkomaalainen	substantiivi, adjektiivi	23033
olympialainen	adjektiivi	23008
aktiivinen	adjektiivi	22944
ulkopuolinen	adjektiivi, substantiivi	22925
kyseinen	adjektiivi	22833
vilkas	adjektiivi	22778
yhdysvaltalainen	adjektiivi, substantiivi	22585
mukainen	adjektiivi	22499
upea	adjektiivi	22347
vähäinen	adjektiivi	22275
ranskalainen	adjektiivi, substantiivi	22182
