Hakusana	Sanaluokat	count
ja	konjunktio, adverbi	8009977
myös	adverbi	1536554
mukaan	adverbi, postpositio	1324374
jo	adverbi	713006
nyt	adverbi	671489
kuin	konjunktio, adverbi	633764
jälkeen	postpositio, adverbi	525867
niin	adverbi	522466
vielä	adverbi	513691
kanssa	postpositio, adverbi	490825
vain	adverbi	410405
kuitenkin	adverbi	406968
paljon	adverbi	370407
yli	postpositio, prepositio, adverbi	366151
sitten	adverbi	351385
hyvin	adverbi	311390
ennen	adverbi, prepositio, postpositio	308374
esimerkiksi	adverbi	303074
lisäksi	postpositio, adverbi	297716
vaikka	konjunktio, adverbi	288350
puoli	substantiivi, adverbi, postpositio	252177
miten	adverbi	243048
koska	konjunktio, adverbi	237870
enemmän	adverbi	233054
aina	adverbi, substantiivi	218429
sillä	konjunktio, adverbi	213450
vastaan	adverbi, postpositio	208116
eri	adjektiivi, adverbi	205131
jopa	adverbi	189952
lähes	adverbi	186447
mukana	adverbi, postpositio	181813
vaan	konjunktio, adverbi	171436
aiemmin	adverbi	166016
kyllä	adverbi	165315
enää	adverbi	162259
tänään	adverbi	155991
näin	adverbi	153386
edelleen	adverbi	153239
lisää	adverbi	150044
vähän	adverbi	147536
ihan	adverbi	145314
juuri	adverbi	140054
ilman	prepositio, adverbi	138027
kuten	adverbi, konjunktio	136037
ainakin	adverbi	131676
silloin	adverbi	127706
taas	adverbi	125433
yhä	adverbi	124667
siellä	adverbi	121116
pois	adverbi	120309
kuitenkaan	adverbi	118726
asti	adverbi	117772
alle	postpositio, prepositio, adverbi	116728
vasta	adverbi	116490
välillä	postpositio, adverbi	114770
todella	adverbi	114189
usein	adverbi	110166
joten	adverbi	108621
kiinni	adverbi	107589
kuinka	adverbi	106015
ehkä	adverbi	99489
heti	adverbi	97758
aika	adverbi	97718
yhteensä	adverbi	96271
erityisesti	adverbi	93106
jälleen	adverbi	90502
erittäin	adverbi*	90278
liian	adverbi	89660
täällä	adverbi	88540
hieman	adverbi	85928
yhdessä	adverbi	85668
nopeasti	adverbi	85564
edessä	postpositio, adverbi	85415
myöhemmin	adverbi	84773
lähellä	prepositio, postpositio, adverbi	83219
aivan	adverbi	81114
siis	adverbi	80897
saakka	adverbi	80618
eniten	adverbi	80421
läpi	adverbi, postpositio, prepositio, substantiivi	80245
täysin	adverbi	79419
miksi	adverbi	78657
pitkään	adverbi	78255
samalla	adverbi	77040
silti	adverbi	74698
takaisin	adverbi	73667
edes	adverbi	73424
lopulta	adverbi	72982
varmasti	adverbi	70458
ulos	adverbi	69826
jolloin	adverbi	69587
kohti	adverbi, postpositio, prepositio	68441
koskaan	adverbi	66983
yleensä	adverbi	66784
myötä	adverbi, postpositio	66113
etenkin	adverbi	65164
tosi	adjektiivi, adverbi, substantiivi	65038
alla	postpositio, adverbi	64508
verran	postpositio, adverbi	64240
