Hakusana	Sanaluokat	count
ja	konjunktio, adverbi	8009977
että	konjunktio	2616520
mutta	konjunktio, substantiivi	1136690
kun	konjunktio	989897
tai	konjunktio	638918
kuin	konjunktio, adverbi	633764
jos	konjunktio, substantiivi	538422
sekä	konjunktio	445782
vaikka	konjunktio, adverbi	288350
koska	konjunktio, adverbi	237870
eli	konjunktio	235972
sillä	konjunktio, adverbi	213450
vaan	konjunktio, adverbi	171436
kuten	adverbi, konjunktio	136037
jotta	konjunktio	92696
vai	konjunktio	69304
mikäli	konjunktio	45113
joko	adverbi, konjunktio	30836
kunnes	konjunktio	21235
joskin	konjunktio	2690
saati	konjunktio	2658
mut	konjunktio	1829
taikka	konjunktio	947
ynnä	konjunktio	943
joskaan	konjunktio	691
elikkä	konjunktio	609
jospa	konjunktio	598
kunpa	konjunktio	501
sun	konjunktio, adverbi	299
saatikka	konjunktio	298
tahi	konjunktio	194
jahka	konjunktio	191
josko	konjunktio	46
tahikka	konjunktio	1
