Hakusana	Sanaluokat	count
mukaan	adverbi, postpositio	1324374
jälkeen	postpositio, adverbi	525867
kanssa	postpositio, adverbi	490825
yli	postpositio, prepositio, adverbi	366151
ennen	adverbi, prepositio, postpositio	308374
lisäksi	postpositio, adverbi	297716
muassa	postpositio	278590
puoli	substantiivi, adverbi, postpositio	252177
vastaan	adverbi, postpositio	208116
mukana	adverbi, postpositio	181813
vuoksi	postpositio	155646
takia	postpositio	150717
kautta	postpositio, prepositio	148415
alle	postpositio, prepositio, adverbi	116728
välillä	postpositio, adverbi	114770
mennessä	postpositio	87462
edessä	postpositio, adverbi	85415
lähellä	prepositio, postpositio, adverbi	83219
läpi	adverbi, postpositio, prepositio, substantiivi	80245
huolimatta	postpositio, prepositio	75936
kohti	adverbi, postpositio, prepositio	68441
myötä	adverbi, postpositio	66113
alla	postpositio, adverbi	64508
verran	postpositio, adverbi	64240
varten	postpositio	61705
lähtien	postpositio	59324
takana	postpositio, adverbi	59046
alkaen	postpositio, prepositio	54526
sisään	postpositio, adverbi	53999
kesken	adverbi, postpositio, prepositio	53260
ohi	adverbi, postpositio, prepositio	51999
puolesta	postpositio	51659
päälle	postpositio, adverbi	49853
sisällä	adverbi, postpositio	48774
ympäri	postpositio, prepositio, adverbi	46514
päällä	postpositio, adverbi	43923
sivu	substantiivi, postpositio, prepositio, adverbi	43000
keskellä	adverbi, postpositio	40293
eteen	postpositio, adverbi	35358
suhteen	postpositio	34126
läheltä	prepositio, postpositio, adverbi	32916
lähinnä	prepositio, postpositio, adverbi	31962
kohtaan	postpositio	31934
päästä	postpositio	31578
paitsi	prepositio, postpositio, adverbi	28353
taakse	postpositio, adverbi	23433
liki	adverbi, prepositio, postpositio	23239
pitkin	postpositio, prepositio, adverbi	22754
parissa	postpositio	22539
ympärillä	postpositio, adverbi	22325
takaa	postpositio, adverbi	21832
vieressä	postpositio, adverbi	21508
varrella	postpositio	20333
päässä	postpositio	20220
yllä	postpositio, adverbi	19344
edellä	adverbi, postpositio, prepositio	18906
alta	postpositio, prepositio, adverbi	18473
perässä	adverbi, postpositio	17939
ohella	postpositio	16586
lähelle	prepositio, postpositio, adverbi	16321
kohden	postpositio, adverbi	15288
keskuudessa	postpositio	14751
