Hakusana	Sanaluokat	count
se	pronomini	3740116
joka	pronomini*	1902576
hän	pronomini	1809996
tämä	pronomini	1793948
muu	pronomini	793407
mikä	pronomini	764921
minä	pronomini, substantiivi	704649
kaikki	pronomini	661769
toinen	numeraali, järjestysluku, pronomini, adjektiivi	563167
tuo	pronomini	447909
moni	pronomini	370285
itse	pronomini, substantiivi	349337
sama	pronomini	311165
jokin	pronomini	258977
mikään	pronomini	230894
usea	pronomini	183307
muutama	pronomini	143285
jokainen	pronomini	101571
joku	pronomini	96806
kukaan	pronomini	83485
sinä	pronomini	77901
kuka	pronomini	76273
molemmat	pronomini	54616
mä	pronomini	50348
harva	pronomini, adjektiivi	25201
eräs	pronomini	24925
kumpikin	pronomini	17295
kukin	pronomini	14659
sä	pronomini	12465
tää	pronomini	9336
kumpi	pronomini	9102
monta	pronomini	7717
kumpikaan	pronomini	5957
toi	pronomini	4630
ma	pronomini	2581
ken	pronomini	2290
jokunen	pronomini	2033
mikin	pronomini	1296
jompikumpi	pronomini	1013
muuan	pronomini	935
jostain	pronomini	721
mi	pronomini	717
jossain	pronomini	704
mistä	pronomini	652
jossakin	pronomini	539
sa	pronomini	444
mones	pronomini	320
kumpainenkin	pronomini	243
johonkin	pronomini	177
mistään	pronomini	156
jotain	pronomini	153
jostakin	pronomini	90
mikäkin	pronomini	49
kenkään	pronomini	37
monias	pronomini	24
kumpainen	pronomini	15
millään	pronomini	10
he	pronomini, interjektio	8
missä	pronomini	4
jok’ikinen	pronomini	3
mitään	pronomini	2
nämä	pronomini	1
