Hakusana	Sanaluokat	count
ei	kieltoverbi, substantiivi	3312474
vuosi	substantiivi	1801254
mutta	konjunktio, substantiivi	1136690
aika	substantiivi	1015240
uusi	adjektiivi, substantiivi	901814
minä	pronomini, substantiivi	704649
hyvä	adjektiivi, substantiivi	575607
ihminen	substantiivi	566871
jos	konjunktio, substantiivi	538422
asia	substantiivi	522569
oma	adjektiivi, substantiivi	488195
yksi	numeraali, substantiivi	484864
mies	substantiivi	458782
osa	substantiivi	446261
poliisi	substantiivi	428619
kaupunki	substantiivi	428539
euro	substantiivi	419645
maa	substantiivi	383415
lapsi	substantiivi	377871
viikko	substantiivi	362992
alue	substantiivi	355993
itse	pronomini, substantiivi	349337
päivä	substantiivi	342988
nuori	adjektiivi, substantiivi	339889
työ	substantiivi	329885
suomalainen	adjektiivi, substantiivi	329853
mieli	substantiivi	329344
tilanne	substantiivi	327571
kerta	substantiivi	319151
paikka	substantiivi	316343
nainen	substantiivi	314550
kuva	substantiivi	309366
kausi	substantiivi	306983
prosentti	substantiivi	293126
tieto	substantiivi	292200
ottelu	substantiivi	281038
pieni	adjektiivi, substantiivi	266309
määrä	substantiivi	265232
hallitus	substantiivi	264268
kunta	substantiivi	260566
joukkue	substantiivi	258196
puoli	substantiivi, adverbi, postpositio	252177
vanha	adjektiivi, substantiivi	248689
hetki	substantiivi	244932
koulu	substantiivi	244932
alku	substantiivi	232173
iso	adjektiivi, substantiivi	232014
maali	substantiivi*	226516
käyttö	substantiivi	223695
kesä	substantiivi	221481
aina	adverbi, substantiivi	218429
loppu	substantiivi, adjektiivi	207961
tapa	substantiivi	207918
yritys	substantiivi	205650
maailma	substantiivi	200710
toiminta	substantiivi	199913
peli	substantiivi	196883
pitkä	adjektiivi, substantiivi	196364
päätös	substantiivi	195965
syy	substantiivi*	195696
auto	substantiivi	194514
presidentti	substantiivi	187188
puheenjohtaja	substantiivi	186469
kova	adjektiivi, substantiivi	185400
voitto	substantiivi	182979
viimeinen	adjektiivi, substantiivi	181146
viisi	numeraali, substantiivi	173960
tila	substantiivi	173254
tulos	substantiivi	167334
työntekijä	substantiivi	165557
henkilö	substantiivi	159007
ongelma	substantiivi	158026
kevät	substantiivi	157984
perjantai	substantiivi	157859
pelaaja	substantiivi	157346
kello	substantiivi	155020
tapaus	substantiivi	150760
maanantai	substantiivi	150362
keskusta	substantiivi	150115
elämä	substantiivi	148955
yhtiö	substantiivi	148717
kisa	substantiivi	145534
lauantai	substantiivi	144654
syksy	substantiivi	142991
vesi	substantiivi	142671
tapahtuma	substantiivi	142634
mahdollisuus	substantiivi	141525
johtaja	substantiivi	138553
seuraava	adjektiivi, substantiivi	137602
torstai	substantiivi	135885
joukko	substantiivi	135877
tiistai	substantiivi	135464
raha	substantiivi	134843
keskiviikko	substantiivi	134656
tehtävä	substantiivi	134232
kuukausi	substantiivi	133603
muutos	substantiivi	133171
juttu	substantiivi	132526
