Hakusana	Sanaluokat	count
olla	verbi	15149528
saada	verbi	1413317
voida	verbi	1300076
tehdä	verbi	1122902
tulla	verbi	1034912
kertoa	verbi	976305
sanoa	verbi	913094
pitää	verbi	758517
haluta	verbi	458992
ottaa	verbi	451284
alkaa	verbi	420443
jäädä	verbi	369051
päästä	verbi	364375
pelata	verbi	324537
käydä	verbi	323500
antaa	verbi	317409
nähdä	verbi	316973
mennä	verbi	310689
käyttää	verbi	302512
katsoa	verbi	288744
lähteä	verbi	283562
nousta	verbi	281839
toimia	verbi	278932
todeta	verbi	269940
joutua	verbi	266300
tarvita	verbi	256992
lukea	verbi	253362
löytyä	verbi	226407
järjestää	verbi	226064
tapahtua	verbi	223747
rakentaa	verbi	218556
aloittaa	verbi	218356
odottaa	verbi	210459
tietää	verbi	210410
vaatia	verbi	205080
jatkaa	verbi	204374
voittaa	verbi	203213
tuoda	verbi	202890
liittyä	verbi	201982
päättää	verbi	199150
lisätä	verbi	196136
uskoa	verbi	195349
pystyä	verbi	191809
arvioida	verbi	188423
kuulua	verbi	187544
kasvaa	verbi	181019
saattaa	verbi	179309
vastata	verbi	176274
viedä	verbi	175583
näyttää	verbi	175258
hakea	verbi	174463
vaikuttaa	verbi	172958
ajaa	verbi	169229
maksaa	verbi	168328
epäillä	verbi	166047
aiheuttaa	verbi	165376
seurata	verbi	164774
puhua	verbi	162301
löytää	verbi	159633
jatkua	verbi	159585
näkyä	verbi	158643
valita	verbi	154076
siirtyä	verbi	153786
syntyä	verbi	153587
nostaa	verbi	148008
toivoa	verbi	144938
jättää	verbi	144600
esittää	verbi	144302
johtaa	verbi	143806
yrittää	verbi	139741
muuttaa	verbi	132319
kuolla	verbi	131852
osallistua	verbi	130614
kannattaa	verbi	129908
selvittää	verbi	128032
tutkia	verbi	125811
laskea	verbi	125447
kirjoittaa	verbi	124967
onnistua	verbi	123953
aikoa	verbi	121401
palata	verbi	120012
päättyä	verbi	119247
avata	verbi	118656
ilmoittaa	verbi	118634
riittää	verbi*	117964
suunnitella	verbi	117673
kokea	verbi	117614
tarjota	verbi	116574
koskea	verbi	116297
muuttua	verbi	113210
pyrkiä	verbi	113173
myöntää	verbi	112089
tuntua	verbi	111719
sijaita	verbi	110685
jakaa	verbi	110318
asua	verbi	109234
auttaa	verbi	106988
hoitaa	verbi	106914
kerätä	verbi	105221
tarkoittaa	verbi	104986
julkaista	verbi	104610
kuvata	verbi	104137
myydä	verbi	103093
muistuttaa	verbi	102945
pohtia	verbi	101393
sulkea	verbi	101061
miettiä	verbi	99542
saapua	verbi	98821
