Hakusana	Sanaluokat	count
no	interjektio	14329
voi	interjektio	4451
hus	interjektio	4438
ah	interjektio	3850
hei	interjektio	3560
top	interjektio	3370
haloo	interjektio, substantiivi	2774
ai	interjektio	2705
joo	interjektio	2666
so	interjektio	2198
hip	interjektio	2043
kuti	substantiivi*, interjektio	2012
hyvästi	adverbi, interjektio, substantiivi	1533
jaa	interjektio	1533
au	interjektio	1522
oi	interjektio	1192
stop	interjektio	1111
huh	interjektio	824
hä	interjektio	791
moi	interjektio	734
ha	interjektio	733
kas	interjektio	615
vau	interjektio	524
seis	interjektio, adverbi	508
soo	interjektio	504
puh	interjektio	500
oh	interjektio	491
juu	interjektio	484
sori	interjektio	361
oho	interjektio	355
noh	interjektio	352
hau	interjektio	298
bravo	interjektio	266
höpö	substantiivi, interjektio	251
häh	interjektio	245
ahaa	interjektio	233
hyi	interjektio	232
pas	interjektio	223
hui	interjektio	195
jumalauta	interjektio	185
heh	interjektio	172
sorry	interjektio	171
miau	interjektio	168
hah	interjektio	138
jess	interjektio	130
jes	interjektio	126
heippa	interjektio	125
jee	interjektio	122
mars	interjektio	112
eläköön	interjektio	107
jep	interjektio	107
sus	interjektio	103
herranjestas	interjektio	102
hoi	interjektio	99
blaa	interjektio	95
wau	interjektio	95
kippis	interjektio	93
jestas	interjektio	92
ohhoh	interjektio	89
hys	interjektio	86
tä	interjektio	86
kappas	interjektio	81
hi	interjektio	80
piip	interjektio	79
jaaha	interjektio	77
ehei	interjektio	74
pliis	interjektio	68
ups	interjektio	64
tse	interjektio	63
hm	interjektio	62
halleluja	interjektio	60
yäk	interjektio	57
hupsista	interjektio	50
yök	interjektio	49
kop	interjektio	48
morjens	interjektio	47
äh	interjektio	47
nam	interjektio	44
pah	interjektio	44
aah	interjektio	43
haa	interjektio	42
herranjumala	interjektio	42
kääk	interjektio	41
näkemiin	interjektio	40
aijai	interjektio	37
höh	interjektio	37
hmm	interjektio	36
hohhoijaa	interjektio	35
jaha	interjektio	34
jumaliste	interjektio	32
pai	interjektio	32
moikka	interjektio	31
hep	interjektio	30
mau	interjektio	27
pyh	interjektio	27
jippii	interjektio	26
ohoi	interjektio	26
kis	interjektio	25
titityy	interjektio	24
tööt	interjektio	23
auts	interjektio	22
ohoh	interjektio	21
skool	interjektio	21
juku	interjektio	18
täh	interjektio	18
jassoo	interjektio	15
kot	interjektio	14
moro	interjektio	14
hih	interjektio	13
pöö	interjektio	13
röh	interjektio	13
viuh	interjektio	13
ähäkutti	interjektio	13
hupsis	interjektio	12
morjes	interjektio	12
huoh	interjektio	11
höpsis	interjektio	11
iik	interjektio	11
pöh	interjektio	10
vautsi	interjektio	10
bää	interjektio	9
oijoi	interjektio	9
he	pronomini, interjektio	8
jessus	interjektio	8
hellurei	interjektio	7
huit	interjektio	7
jipii	interjektio	7
moron	interjektio	7
böö	interjektio	6
pirulauta	interjektio	6
pus	interjektio*	6
tuku	interjektio	6
tyyt	interjektio	6
hellanlettas	interjektio	5
herrajestas	interjektio	5
höpön	interjektio	5
jukra	interjektio	5
jösses	interjektio	5
hyh	interjektio	4
höpsistä	interjektio	4
jukolauta	interjektio	4
plääh	interjektio	4
tattis	interjektio	4
huhuu	interjektio	3
tsot	interjektio	3
ääk	interjektio	3
kukkokiekuu	interjektio	2
niisk	interjektio	2
nöf	interjektio	2
prosit	interjektio	2
pusi	interjektio	2
äsh	interjektio	2
herrajesta	interjektio	1
herranjesta	interjektio	1
hiiop	interjektio	1
hmh	interjektio	1
huiskis	interjektio	1
ihaa	interjektio	1
jukranpujut	interjektio	1
jumalaut	interjektio	1
kukkuu	interjektio	1
lällällää	interjektio	1
lääh	interjektio	1
phyi	interjektio	1
ptruu	interjektio	1
puuh	interjektio	1
tuut	interjektio	1
upsis	interjektio	1
