Hakusana	Sanaluokat	count
ei	kieltoverbi, substantiivi	3312474
ettei	alistuskonjunktio, kieltoverbi	87081
ellei	alistuskonjunktio, kieltoverbi	5814
etteikö	alistuskonjunktio, kieltoverbi	3918
muttei	rinnastuskonjunktio, kieltoverbi	2664
miksei	adverbi, kieltoverbi	2264
vaikkei	alistuskonjunktio, kieltoverbi	1846
jottei	alistuskonjunktio, kieltoverbi	751
jollei	alistuskonjunktio, kieltoverbi	598
ehkei	adverbi, kieltoverbi	37
ehken	adverbi, kieltoverbi	18
eikä	kieltoverbi, rinnastuskonjunktio	10
