Hakusana	Sanaluokat	count
toinen	numeraali, järjestysluku, pronomini, adjektiivi	563167
kaksi	numeraali	545935
yksi	numeraali, substantiivi	484864
ensimmäinen	numeraali	437980
kolme	numeraali	329234
miljoona	numeraali	278328
neljä	numeraali	196439
kymmenen	numeraali	183036
viisi	numeraali, substantiivi	173960
kolmas	numeraali	137078
sata	numeraali	115084
tuhat	numeraali	102551
kuusi	numeraali	102278
seitsemän	numeraali	78238
kahdeksan	numeraali	70204
miljardi	numeraali	54822
neljäs	numeraali	54448
yhdeksän	numeraali	46738
viides	numeraali	38412
kuudes	numeraali	23551
seitsemäs	numeraali	16856
kahdeksas	numeraali	12153
nolla	numeraali, substantiivi	11758
satakunta	numeraali	10479
yhdeksäs	numeraali	9432
kymmenkunta	numeraali	8589
kymmenes	numeraali	8311
parikymmentä	numeraali	7084
yksitoista	numeraali	6929
kaksitoista	numeraali	5679
viisitoista	numeraali	5608
toistakymmentä	numeraali	4980
eka	numeraali	3910
kolmisen	numeraali	3241
viitisen	numeraali	2946
kaksikymmentä	numeraali	2911
kolmetoista	numeraali	2537
satatuhatta	numeraali	2376
neljätoista	numeraali	2092
kolmekymmentä	numeraali	2053
kuusitoista	numeraali	2013
kymmenentuhatta	numeraali	1701
parisenkymmentä	numeraali	1631
toistasataa	numeraali	1436
viisikymmentä	numeraali	1359
parisataa	numeraali	1232
puolenkymmentä	numeraali	1020
biljoona	numeraali	982
kolmisenkymmentä	numeraali	957
neljäkymmentä	numeraali	953
viitisentoista	numeraali	886
yks	numeraali	876
kuutisen	numeraali	868
tuhatkunta	numeraali	860
kaksisataa	numeraali	830
kahdeksantoista	numeraali	797
sadas	numeraali	753
seitsemäntoista	numeraali	718
viitisenkymmentä	numeraali	673
yhdestoista	numeraali	672
neljännesmiljoona	numeraali	662
nelisenkymmentä	numeraali	653
kolmesataa	numeraali	544
iltakymmenen	numeraali	523
kuusikymmentä	numeraali	446
viidestoista	numeraali	430
kahdestoista	numeraali	425
viisisataa	numeraali	419
kolmastoista	numeraali	407
yhdeksäntoista	numeraali	396
neljästoista	numeraali	326
parituhatta	numeraali	325
toistatuhatta	numeraali	311
neljäsataa	numeraali	272
kaksituhatta	numeraali	235
kuutisenkymmentä	numeraali	217
kuudestoista	numeraali	206
tuhannes	numeraali	206
seitsemisen	numeraali	194
seitsemänkymmentä	numeraali	190
kahdeksankymmentä	numeraali	188
kolmetuhatta	numeraali	157
kahdeskymmenes	numeraali	153
kuusisataa	numeraali	138
viisituhatta	numeraali	113
seitsemästoista	numeraali	110
toka	numeraali	110
yhdeksänkymmentä	numeraali	91
kahdeksastoista	numeraali	89
triljoona	numeraali	87
neljätuhatta	numeraali	83
yhdeksästoista	numeraali	81
toistakymmentätuhatta	numeraali	71
kuusituhatta	numeraali	55
seitsemänsataa	numeraali	51
kolmaskymmenes	numeraali	43
puolikymmentä	numeraali	43
kahdeksisen	numeraali	42
tuhannen	numeraali	31
kahdeksansataa	numeraali	27
neljäskymmenes	numeraali	26
kaksikymmentäyksi	numeraali	25
seitsemisenkymmentä	numeraali	21
viideskymmenes	numeraali	21
seitsemäntuhatta	numeraali	17
puolisenkymmentä	numeraali	16
yhdeksisen	numeraali	14
kahdeskymmenestoinen	numeraali	13
puolitoistasataa	numeraali	13
kahdeksantuhatta	numeraali	12
kahdessadas	numeraali	12
yhdeksänsataa	numeraali	12
kahdeskymmenesensimmäinen	numeraali	11
yhdeksäntuhatta	numeraali	11
viidessadas	numeraali	10
kuudessadas	numeraali	9
neljässadas	numeraali	8
yhdes	numeraali	8
kvintiljoona	numeraali	6
nollas	numeraali	6
seitsemäskymmenes	numeraali	6
kahdes	numeraali	5
kolmassadas	numeraali	5
kvadriljoona	numeraali	5
kuudeskymmenes	numeraali	4
tsiljoona	numeraali	4
miljoonas	numeraali	3
kahdeksisenkymmentä	numeraali	2
puolisentoistasataa	numeraali	1
seitsemässadas	numeraali	1
yhdeksäskymmenes	numeraali	1
