Hakusana	Sanaluokat	count
yli	postpositio, prepositio, adverbi	366151
ennen	adverbi, prepositio, postpositio	308374
kautta	postpositio, prepositio	148415
ilman	prepositio, adverbi	138027
alle	postpositio, prepositio, adverbi	116728
lähellä	prepositio, postpositio, adverbi	83219
läpi	adverbi, postpositio, prepositio, substantiivi	80245
huolimatta	postpositio, prepositio	75936
kohti	adverbi, postpositio, prepositio	68441
alkaen	postpositio, prepositio	54526
kesken	adverbi, postpositio, prepositio	53260
ohi	adverbi, postpositio, prepositio	51999
ympäri	postpositio, prepositio, adverbi	46514
sivu	substantiivi, postpositio, prepositio, adverbi	43000
läheltä	prepositio, postpositio, adverbi	32916
lähinnä	prepositio, postpositio, adverbi	31962
päin	adverbi, prepositio	28655
paitsi	prepositio, postpositio, adverbi	28353
liki	adverbi, prepositio, postpositio	23239
pitkin	postpositio, prepositio, adverbi	22754
edellä	adverbi, postpositio, prepositio	18906
alta	postpositio, prepositio, adverbi	18473
lähelle	prepositio, postpositio, adverbi	16321
poikki	adverbi, postpositio, prepositio	13349
vasten	postpositio, prepositio, adverbi	10294
per	prepositio	8477
pro	prepositio, adjektiivi, substantiivi	7506
vailla	postpositio, prepositio, adverbi	7185
miinus	adverbi, prepositio, substantiivi	6094
lähemmäs	prepositio, postpositio, adverbi	5773
vaille	postpositio, prepositio, adverbi	5369
edelle	adverbi, postpositio, prepositio	5101
halki	adverbi, postpositio, prepositio	3786
kera	postpositio, prepositio	3662
ylitse	postpositio, adverbi, prepositio	3168
lähemmäksi	prepositio, postpositio, adverbi	2583
lähempänä	prepositio, postpositio, adverbi	2085
plus	adverbi, prepositio, substantiivi	1645
vastapäätä	prepositio, postpositio	1388
vastoin	prepositio, postpositio	1217
via	prepositio	796
lähimmäs	prepositio, postpositio, adverbi	392
lähimmäksi	prepositio, postpositio, adverbi	357
versus	prepositio	81
likellä	prepositio, postpositio, adverbi	70
likelle	prepositio, postpositio, adverbi	37
likemmäs	prepositio, adverbi	22
likeltä	prepositio, postpositio, adverbi	19
lähemmä	prepositio, adverbi	6
lähimpänä	prepositio, postpositio, adverbi	5
riippumatta	postpositio, prepositio	5
likempänä	prepositio, adverbi	1
likempää	prepositio, adverbi	1
